date,dayofweek,status,isholiday
2020-11-22,7,0,Y
2020-11-23,1,0,N
2020-11-24,2,0,N
2020-11-25,3,0,N
2020-11-26,4,0,N
2020-11-27,5,0,N
2020-11-28,6,0,Y
2020-11-29,7,0,Y
2020-11-30,1,0,N
2020-12-01,2,0,N
2020-12-02,3,0,N
2020-12-03,4,0,N
2020-12-04,5,0,N
2020-12-05,6,0,Y
2020-12-06,7,0,Y
2020-12-07,1,0,N
2020-12-08,2,0,N
2020-12-09,3,0,N
2020-12-10,4,0,N
2020-12-11,5,0,N
2020-12-12,6,0,Y
2020-12-13,7,0,Y
2020-12-14,1,0,N
2020-12-15,2,0,N
2020-12-16,3,0,N
2020-12-17,4,0,N
2020-12-18,5,0,N
2020-12-19,6,0,Y
2020-12-20,7,0,Y
2020-12-21,1,0,N
2020-12-22,2,0,N
2020-12-23,3,0,N
2020-12-24,4,0,N
2020-12-25,5,0,N
2020-12-26,6,0,Y
2020-12-27,7,0,Y
2020-12-28,1,0,N
2020-12-29,2,0,N
2020-12-30,3,0,N
2020-12-31,4,0,N
